Start Time,End Time,Sentence,Translation
59:20.790,59:22.606,"Andrea, no puedo acercarme tanto.","Andrea, I can't get that close."
59:22.798,59:24.250,Me voy a pegar más.,I'm gonna hit it harder.
59:29.670,59:32.410,¿Creéis que vosotros habrán vetado a alguien también?,"Do you think you've vetoed someone, too?"
59:32.950,59:37.214,"Yo creo que si no vetan es a David o a mí, porque nuestras novias estarán locas.","I think if you don't veto it's David or me, because our girlfriends will be crazy."
59:37.342,59:39.422,Así que a ti te veo muy tranquilo.,So you look very calm.
59:39.486,59:45.326,"Va a ser Zaira o tú, egresado.","It's going to be Zaira or you, alumni."
59:45.358,59:48.686,"Si tu novia es inteligente como tú, no la va a vetar ni de coña.","If your girlfriend's smart like you, she's not going to veto her at all."
59:48.718,59:49.890,Mi novia está loca.,My girlfriend is crazy.
59:53.110,59:58.622,Ana es muy rabiosa y alguna vez actúa en plan negativa y nunca la he puesto tan al límite.,Anna is very rabid and once she's acting in a negative way and I've never pushed her so far.
59:58.686,60:00.940,Veremos cómo cómo avanza la cosa.,We'll see how it goes.
60:09.040,60:09.992,Qué contento está.,He's so happy.
60:10.096,60:11.704,"Sí, porque estaba súper preocupado.","Yeah, 'cause I was super worried."
60:11.752,60:12.980,Pero te he visto bien.,But I've seen you well.
60:13.360,60:17.460,Gracias por tu vida.,Thank you for your life.
60:19.600,60:23.660,"Quiero mi vida ya, no como amigo.","I want my life now, not as a friend."
60:25.290,60:26.310,De momento.,For now.
60:39.370,60:43.202,Lo que estoy teniendo con Nápoles no lo estoy haciendo por venganza ni por despecho.,What I'm having with Naples I'm not doing out of revenge or spite.
60:43.266,60:46.178,Es una persona que para mí es importante.,He's a person who's important to me.
60:46.194,60:47.190,Sobre todo aquí.,Especially here.
60:50.410,60:52.030,No te veo bien.,You don't look well.
60:52.890,61:05.016,A las nuestras no puedes venir de una hoguera y venir con una puta sonrisa y tan tranquila después de lo que has escuchado.,You can't come from a bonfire and come with a fucking smile and so quiet after what you've heard.
61:05.208,61:06.504,No venía tan tranquila.,He didn't come so calmly.
61:06.552,61:10.940,"Lo que pasa que mi mente hace esto no lo he visto, esto no lo he escuchado.","What my mind does, I have not seen, I have not heard."
61:12.160,61:13.896,Y todo borrado y ya está.,"And it's all erased, and it's done."
61:14.048,61:14.760,Muy bien.,All right.
61:14.880,61:15.944,Voy a abrir los ojos.,I'll open my eyes.
61:15.992,61:18.040,"Tía, yo sé lo que quiero que me demuestre.","Auntie, I know what I want you to prove to me."
61:18.120,61:25.730,"Ya, pero a veces cuando cuando te muestren cositas diferentes y te tocan la vibra jo, me miras más a la boca que a los ojos.","Yes, but sometimes when they show you different things and touch you the vibra jo, you look me more in the mouth than in the eyes."
61:26.230,61:29.890,"Te miro a la boca porque te ríes, no porque te quiera besar.","I look at you in the mouth because you laugh, not because I want to kiss you."
61:30.550,61:31.710,¿Pero no me besarías?,But you wouldn't kiss me?
61:31.790,61:32.410,No.,No.
61:34.390,61:35.486,Tú eres mi tesis.,You are my thesis.
61:35.518,61:36.206,De verdad.,Really.
61:36.318,61:37.934,Pero quiero a mi novio.,But I want my boyfriend.
61:38.062,61:42.654,"Qué necesitas ver cómo está follando, cómo tiene que dar un beso para ver el dolor que tiene cada persona.","What you need to see how she is fucking, how she has to give a kiss to see the pain each person has."
61:42.702,61:45.330,Adri no va a caer fijo.,Adri's not going to fall flat.
61:46.360,61:48.368,"Si Adri cae, me gano un beso.","If Adri falls, I win a kiss."
61:48.464,61:49.380,Vale.,Okay.
61:51.320,61:58.272,"Me duele que Adri puede estarla gustando ni que sea un poco Mónica, pero confío 100 % en Adri.","It hurts me that Adri may be liking it or a little Monica, but I trust Adri 100%."
61:58.336,61:59.300,Convencida.,Convinced.
62:09.640,62:11.216,En la cama balines no hay nadie.,There's no one in the Balinese bed.
62:11.248,62:11.456,Vamos.,Come on.
62:11.488,62:29.540,"Allí van a decir que estoy loco porque con lo del otro día reaccioné súper miedoso, asustadizo y hoy todo lo contrario.","They're going to say that I'm crazy because the other day I reacted super scary, scary and today quite the opposite."
62:30.920,62:33.300,A lo mejor está abriendo un poco los ojos.,Maybe he's opening his eyes a little.
62:35.160,62:37.670,"Pues puede ser, puede ser.","It may be, it may be."
62:37.970,62:39.322,Y por otro lado estás tú.,And on the other hand there is you.
62:39.386,62:43.562,¿Qué llegas con un terremoto?,What do you come up with with an earthquake?
62:43.706,62:44.138,¿Qué haces?,What are you doing?
62:44.154,62:46.110,"¿Que me apetezca darte un beso, sabes?","I'd like to kiss you, you know?"
62:48.050,62:52.110,"Así, de la nada, porque sí, sonreír.","So, out of the blue, because, yes, smile."
62:53.410,62:55.310,Y no por despecho ni nada.,And not out of spite or anything.
62:55.730,62:59.070,"Es que es muy fuerte lo que transmite Mónica, de verdad.","It's just that it's very strong what Monica is transmitting, really."
63:00.050,63:01.910,Yo firmo por esta naturalidad.,I sign for this naturalness.
63:02.010,63:04.126,"Firmo, te lo juro.","I'll sign, I swear."
63:04.238,63:08.130,"Así, sencilla, risueña.","So, simple, laughing."
63:08.710,63:11.550,"¿Cuentas que te has tirado un peo y ya es gracioso, sabes?","You're telling me you've had a hard time, and it's funny, you know?"
63:11.630,63:13.010,"Es que es así, tío.","It's just like that, man."
63:30.990,63:33.050,No te muerda el labio.,Don't bite your lip.
63:39.630,63:41.410,Eres la más guapa de toda la vida.,You're the prettiest one of all life.
63:45.070,63:49.686,"Por fuera, por dentro Mónica me lo está poniendo muy difícil.","On the outside, on the inside, Monica is making it very difficult for me."
63:49.798,63:51.606,Me da muchos abrazos.,He gives me a lot of hugs.
63:51.718,63:52.970,Siento mucho su calor.,I'm so sorry for your heat.
63:55.950,63:56.970,Peligro.,Danger.
64:00.510,64:01.526,"Nico, a dormir.","Nico, go to sleep."
64:01.558,64:16.810,"No, no me apetece ver las fotos de Rut.","No, I don't feel like seeing Ruth's pictures."
64:17.390,64:18.694,Las he guardado en la maleta.,I've kept them in my suitcase.
64:18.742,64:21.070,No tengo ganas de tenerla encima de mi mesa.,I don't feel like having her on my desk.
64:23.010,64:28.590,Siempre me acostaba dándole un beso a la foto y acariciando el amuleto que me dio.,I always lay down kissing the picture and caressing the amulet he gave me.
64:28.930,64:33.070,"Pero viendo lo que estoy viendo, me apeteció quitarlas.","But seeing what I'm seeing, I felt like taking them off."
64:37.810,64:39.338,Miguel me ha hecho un anillo.,Miguel made me a ring.
64:39.434,64:40.430,A verlo.,Let's see it.
64:42.930,64:43.466,Mari.,Mari.
64:43.498,64:44.090,¿Dónde vais?,Where are you going?
64:44.170,64:44.490,A ver.,Let's see.
64:44.530,64:51.160,La niña me dice Este es el anillo para invitarte a París.,The girl tells me this is the ring to invite you to Paris.
64:55.260,64:58.760,"¿No, pero ahora fuera de coña, ustedes creen que es una trola o que es verdad?","No, but now out of the question, do you think it's a troll or is it true?"
64:59.500,65:00.772,Yo creo que no es una trola.,I don't think it's a troll.
65:00.836,65:02.116,"Tía, que le gustas.","Auntie, she likes you."
65:02.148,65:04.228,A mí me parece más real nivel que Zanetti.,It seems more real to me than Zanetti.
65:04.244,65:06.724,"¿Es que Zanetti es tu amigo, no?","Zanetti's your friend, isn't he?"
65:06.892,65:18.270,"Ah, no, sí, tú con Zanetina, pero con Miguel yo creo que te puede la cerracia.","Oh, no, yes, you with Zanetina, but with Miguel I think he can lock you up."
65:18.350,65:19.570,La cerra.,The lock.
65:22.790,65:30.286,Y el tema de físicamente es verdad que puede ser el prototipo que yo tal porque se asemeja a Nico.,And the subject of physicality is true that it may be the prototype that I like because it resembles Nico.
65:30.318,65:36.958,¿Si te pones a mirar tú te lo has creído?,"If you look at yourself, do you believe it?"
65:36.974,65:37.454,Ni tú.,Neither do you.
65:37.502,65:39.834,"Que tú quieras a Nico, te lo compro.","You want Nico, I'll buy it for you."
65:39.882,65:41.994,Pero que Miguel está más bueno que Nico.,But Miguel is hotter than Nico.
65:42.042,65:43.338,Está más bueno que Nico.,He's hotter than Nico.
65:43.514,65:45.242,"¿Bueno, bailamos un ratito más?","Well, shall we dance a little longer?"
65:45.346,65:45.578,Sí.,Yeah.
65:45.594,65:47.790,Obvio que Miguel se pone celoso.,Of course Miguel gets jealous.
65:48.210,65:50.170,"Mira, mira cómo me va a mirar ahora.","Look, look how he's gonna look at me now."
65:50.250,65:51.950,Miren cómo me va a mirar.,Look how he's going to look at me.
65:53.090,65:55.242,"Alguien se baña conmigo a la piscina, que está lloviendo.","Someone bathes with me in the pool, which is raining."
65:55.306,65:56.510,Yo contigo.,Me with you.
65:58.130,66:00.394,Miguel lo da punta sin hilo.,Miguel gives it point without thread.
66:00.522,66:01.770,"Escucha, escucha.","Listen, listen."
66:01.850,66:10.090,No solo Miguel por el enamor de esa mujer.,Not just Miguel for the love of that woman.
66:20.110,66:24.550,Yo solo quiero que los solteros vayan de aquí diciendo Quiero una novia como Ruth.,I just want the bachelors out of here saying I want a girlfriend like Ruth.
66:24.710,66:27.334,Que soy el puto sueño de mujer que todo hombre quiere.,That I'm the fucking woman's dream that every man wants.
66:27.382,66:39.380,Que yo lo sé realmente soy una persona que le puede mover el suelo y creo que realmente siente por mí.,That I know I'm really a person who can move the ground and I think he really feels for me.
67:04.690,67:06.470,Tienes que cuidar que estoy mal.,You have to take care that I'm wrong.
67:42.620,67:43.556,Abrázame.,Hold me.
67:43.668,67:44.276,Abrázame.,Hold me.
67:44.308,67:45.300,Todavía estoy mal yo.,I'm still sick.
67:45.340,67:47.080,Abrázame y pídeme perdón.,Hold me and ask me for forgiveness.
67:49.030,67:49.886,"Hola, David.","Hello, David."
67:49.998,67:50.654,Pídeme perdón.,Ask me for forgiveness.
67:50.702,67:51.650,Dobby.,Dobby.
67:55.670,67:56.286,¿Cómo está?,How do you do?
67:56.358,67:57.250,Cuéntame.,Tell me.
67:57.910,68:00.610,Que ha hecho el mismo polvo que hace conmigo.,He's made the same dust he does with me.
68:01.190,68:02.158,Se han llevado los dos.,They've both taken.
68:02.214,68:03.330,Han sido felices.,They've been happy.
68:04.070,68:05.118,Que disfruten.,Enjoy.
68:05.214,68:07.934,Dejarlo libre al fin y de verano.,Leave him free at the end of the summer.
68:07.982,68:08.638,Es para ti.,It's for you.
68:08.734,68:13.006,Me duele pensar que Álex puede no estar acordándose de mí cuando yo sí que lo estoy haciendo.,It hurts me to think that Alex may not be remembering me when I am.
68:13.198,68:17.820,Lo nombro muchísimas veces en la villa y me duele lo que nos está pasando.,"I name it a lot of times in the village, and it hurts me what's happening to us."
68:22.640,68:23.580,Vente.,Come on.
68:26.000,68:27.624,"Cada día te veo más guapa, hija.","You look more beautiful every day, daughter."
68:27.672,68:28.808,Fíjate lo que te digo.,Look what I'm saying.
68:28.904,68:31.260,Está comenzando a tener sentimientos.,He's starting to have feelings.
68:33.920,68:38.056,Si no estuvieras tú verás algo bueno.,"If you weren't there, you'd see something good."
68:38.088,68:42.430,"¿Si no estuvieras yo, a lo mejor tú eres Dirgy, no?","If you weren't me, maybe you're Dirty, aren't you?"
69:10.820,69:13.996,Si mi relación con Marieta acabara aquí sí que me veo fuera.,"If my relationship with Marieta were to end here, I'd see myself outside."
69:14.028,69:14.572,Con Gabriela.,With Gabriela.
69:14.636,69:17.920,"Al principio no, pero ahora sí que me veo con Gabriela fuera.","Not at first, but now I see Gabriela outside."
69:21.860,69:24.364,Las imágenes han sido peores de lo que te esperabas.,The images have been worse than you expected.
69:24.412,69:28.892,"Sí que es verdad que no soy celoso, pero un poco me ha preocupado y me ha molestado.","It is true that I am not jealous, but I was a little worried and disturbed."
69:28.956,69:31.361,"Rollo muy pegado, muy acaramelados.","Scroll very close, very flat."
69:31.475,69:36.649,"Bueno, lo que tengas que ser, ya lo verás.","Well, whatever you have to be, you'll see."
69:37.789,69:40.565,¿Tendremos otra cita después de la hoguera?,Will we have another date after the bonfire?
69:40.757,69:42.329,"Hombre, espero que sí.","Man, I hope so."
69:42.749,69:43.845,Tiene calor.,It's hot.
69:43.877,69:44.489,Sí.,Yeah.
69:47.549,69:48.809,¿Se van a liar?,Are they going to mess with each other?
69:53.229,69:54.329,"Veremos, veremos.","We'll see, we'll see."
69:54.829,69:56.409,Mañana teoría.,Tomorrow theory.
69:57.080,69:59.648,"¿Y utilizas tu manta, la quieres?","And you use your blanket, do you love it?"
69:59.824,70:01.984,Es que voy a pasar mucho frío esta noche.,It's just that I'm going to be very cold tonight.
70:02.112,70:02.980,No quiero.,I don't want to.
70:08.200,70:10.020,"Para, que ya no soy bueno.","Stop, I'm no longer good."
70:12.200,70:12.980,Gracias.,Thank you.
70:15.160,70:16.544,"Buenas noches, papá.","Good night, Dad."
70:16.672,70:17.408,Descansa.,Rest.
70:17.424,70:18.128,Vale.,Okay.
70:18.304,70:25.056,"Bueno, Andrea, cada vez estoy más a gusto, pero ahora mismo estoy preocupado porque Ana se está acercando cada vez más a Napoli.","Well, Andrea, I'm getting more comfortable, but right now I'm worried that Ana is getting closer and closer to Napoli."
70:25.088,70:28.850,"Y evidentemente no me gusta ver a mi novia tan cerca un chico, porque nunca lo he visto.","And I obviously don't like seeing my girlfriend so close to a boy, 'cause I've never seen him."
70:45.030,70:47.690,"Bueno, esta noche has estado bien.","Well, you've been fine tonight."
70:49.270,70:52.210,Qué alegría que estéis una noche contento.,I'm so glad you're having a happy night.
70:54.870,70:56.798,You know what I'm thinking.,You know what I'm thinking.
70:56.894,70:58.350,See it in your eyes.,See it in your eyes.
70:58.430,71:00.270,You hate that you want me.,You hate that you want me.
71:00.390,71:00.942,Hate it.,Hate it.
71:00.966,71:01.886,When you cry.,When you cry.
71:01.998,71:03.870,You're scared to be lonely.,You're shamed to be lonely.
71:04.030,71:05.518,Especially in the night.,Especially in the night.
71:05.614,71:06.942,I'm scared that I'll miss.,I'm shamed that I'll miss.
71:07.006,71:09.038,You happens every time.,You happens every time.
71:09.174,71:11.022,I don't want this feeling.,I don't want this feeling.
71:11.086,71:12.750,I can't afford love.,I can't afford love.
71:12.830,71:16.174,"I try to find results, to pull us apart.","I try to find results, to pull us apart."
71:16.302,71:20.250,It ain't working cause you're perfect and i know that you're worth it.,It ain't working cause you're perfect and i know that you're worth it.
71:39.350,71:42.570,"Quiere la camisita para dormir sobre la Dámela, por favor.","She wants the nightgown to sleep on the Give it to me, please."
72:13.840,72:15.100,Buena noche.,Good night.
72:22.640,72:25.128,Me gusta cuando Napoli está cerca mío.,I like it when Napoli is near me.
72:25.144,72:29.112,Pero me da miedo que se me pase la opción de darle un beso a Napoli.,But I'm afraid I'll miss the option of giving Napoli a kiss.
72:29.176,72:38.258,Y de momento siento que no estoy preparada para hacerlo contigo.,And so far I feel like I'm not ready to do it with you.
72:38.274,72:40.230,Pero prefiero que descanses en tu habitación.,But I'd rather you rest in your room.
72:44.490,72:45.506,"¿Qué hago, tío?","What do I do, man?"
72:45.538,72:46.418,Me gustan tus chanclas.,I like your flip flops.
72:46.434,72:50.270,Me las voy a quedar bien.,I'm going to look good.
72:51.130,72:52.230,Qué bonita.,That's nice.
72:53.130,73:02.150,"Si te tienes que traer algo de arriba, tráetelo tirando para que no estés aquí con la ropa esta de fiesta.","If you have to bring something from upstairs, bring it to me, so you're not here with your clothes, it's a party."
73:16.850,73:17.990,"No, dame una.","No, give me one."
73:20.130,73:21.722,Solo quiero dormir a chuchar y ya está.,"I just want to go to sleep, and that's it."
73:21.746,73:23.386,Yo con ganas a tomar por culo.,I want to fuck it up.
73:23.498,73:23.930,Ya está.,That's it.
73:23.970,73:24.938,Pero dormir a chucharos.,But sleep on your knees.
73:24.954,73:25.994,Ya verás cómo vas a gusto.,You'll see how you like it.
73:26.042,73:27.230,"Bueno, vale, Ok.","Well, okay, okay."
73:31.270,73:33.294,Esta noche vuelvo a dormir con Julen.,I'm sleeping with Julen again tonight.
73:33.342,73:33.950,Me apetece.,I feel like it.
73:34.030,73:35.022,Yo quiero darle un abrazo.,I want to give her a hug.
73:35.086,73:38.090,"Él también, pero no creo que pase nada más.","Him too, but I don't think anything else will happen."
74:09.680,74:10.940,¿Qué piensa?,What do you think?
74:13.280,74:16.780,Es que me gusta le hagas eso y que me estoy conteniendo.,"I just like to do that, and I'm holding back."
74:45.090,75:16.930,There's a few lines that I want un rime por última vez.,There's a few lines that I want a rhyme for the last time.
75:18.350,75:25.050,Así que eres un peligro.,So you're a danger.
75:26.830,75:28.230,Me he dejado llevar con Mónica.,I got carried away with Monica.
75:28.310,75:30.166,He llegado a pasar la barrera del beso.,I've come to pass the kiss barrier.
75:30.198,75:32.090,"Me ha gustado, no lo puedo negar.","I liked it, I can't deny it."
75:38.040,76:08.850,"Después de besarla se me ha complicado todo y he seguido pensando en que Mariona es más fuerte que ese beso, sabiendo que no, que no es el momento.","After kissing her, everything has become more complicated and I have continued to think that Mariona is stronger than that kiss, knowing that she is not, that it is not the time."
76:10.230,76:11.902,Y vuelvo a romperlo.,And I break it again.
76:11.966,76:23.902,"Jugarme la vida, cambiarme los miedos, taparme la herida, cosente los rotos, pasar de los míos, volviéndome loco y vuelvo a romperlo.","To play my life, to change my fears, to cover my wound, to sew the broken ones, to pass from mine, to go mad and to break it again."
76:23.966,76:31.980,"Jugarme la vida, callarme los miedos, taparme la herida, coserte los ro no quiero, no quiero.","I'll play my life, keep my fears quiet, cover my wound, sew them up, I don't want them, I don't want them."
76:34.400,76:36.140,Eso no es amor.,That's not love.
76:38.160,76:45.736,Yo hablando con mi cabeza nadie sabe lo que siento.,I speak with my head no one knows how I feel.
76:45.768,76:46.360,"¿Daniel, por qué?","Daniel, why?"
76:46.400,76:49.912,"Adri, yo no quiero seguir ya más.","Adri, I don't want to go on anymore."
76:50.016,76:52.728,Y yo no puedo.,And I can't.
76:52.904,76:53.736,Ok.,Okay.
76:53.928,76:55.500,Ayer besa Mónica.,Yesterday she kissed Monica.
76:57.560,77:06.176,"Sí, pero fueron 15 20 s y ya me han bastado para darme cuenta que no puedo avanzar más aquí con Mónica ni con nadie.","Yes, but it was 15 20 s and I've had enough to realize that I can't go any further here with Monica or anyone else."
77:06.368,77:08.336,Y porque hice el paso ayer.,And because I made the move yesterday.
77:08.528,77:13.792,A veces dar un beso va bien para saber si fluyes más.,Sometimes kissing goes well to find out if you're flowing any more.
77:13.816,77:18.352,"Pues es como Hostia, vale, sigo con esta chica y demás.","Well, it's like Hostia, okay, I'm still with this girl and so on."
77:18.416,77:26.630,"Pero es que fue darle el beso y y empezarme a rayar y decir vale, no puedo más.","But it was that I kissed her and started scratching and saying okay, I can't do it anymore."
77:29.890,77:31.390,"¿Qué pasa, Adri?","What is it, Adri?"
77:32.930,77:34.230,Que no puedo más.,I can't do it anymore.
77:35.250,77:37.630,Me he dado cuenta que ahora quiero más de lo que pensaba.,I realized I want more now than I thought.
77:38.050,77:42.362,Ella siempre me dice que ella está más enamorada que yo.,She always tells me she's more in love than I am.
77:42.466,77:44.750,"Mejor, tú estás más enamorado que ella.","Better, you're more in love than she is."
77:46.880,77:53.740,¿Te has dado cuenta que la quieres más de lo que tú piensas y que no puedes perderla y empezar tu vida sin ella?,Have you realized that you love her more than you think and that you cannot lose her and start your life without her?
77:54.480,77:56.072,Me he levantado hecho una mierda.,"I got up, I fucked up."
77:56.136,78:03.304,Me he dado cuenta de que Mariona está por encima de todos los besos o todo lo que pueda llegar a hacer.,I've noticed that Mariona is above all kisses or anything she can do.
78:03.392,78:06.300,Y no me gustaría que Mariona no pudiese llegar a entenderlo.,And I wouldn't want Mariona to be able to understand it.
78:12.010,78:12.706,Buenos días.,Good morning.
78:12.738,78:13.990,Peligrosas.,Dangerous.
78:24.570,78:34.322,No me he levantado tranquila con Julen al lado.,I didn't get up quietly with Julen next door.
78:34.386,78:35.970,La verdad es que no me siento mal.,I don't really feel bad.
78:36.090,78:39.196,No estoy pensando en este momento en Adri.,I'm not thinking of Adri right now.
78:39.308,78:41.196,Al final he sido yo misma.,"In the end, I was myself."
78:41.228,78:43.440,Me ha apetecido y es lo que importa.,"I've liked it, and that's what matters."
78:56.980,78:57.996,No digas nada.,Don't say anything.
78:58.028,78:59.520,Corre y ábrete.,Run and open.
79:02.340,79:02.652,¿Qué?,What?
79:02.676,79:03.940,Está cambiando mi siesta.,He's changing my nap.
79:04.280,79:06.368,La estaba oliendo toda la noche.,I was smelling it all night.
79:06.544,79:08.180,"Estamos frente, frente.","We're in front, in front."
79:08.520,79:10.420,"Levanta, levanta.","Get up, get up."
79:12.120,79:14.736,Te vas a lavar que no te veo.,"You're going to wash, I can't see you."
79:14.928,79:16.580,Tengo los ojos cerrados.,My eyes are closed.
79:19.080,79:22.336,"¿Esta cosa que estás haciendo es una parte súper íntima, lo sabes?","This thing you're doing is a super intimate part, you know?"
79:22.448,79:24.500,Yo prefiero esto que todo lo demás.,I prefer this to anything else.
79:26.040,79:34.150,"Despertarte, arribarte y esto también.","Wake up, get up, and this too."
79:35.410,79:37.498,Napoli ha venido a despertarme.,Napoli has come to wake me up.
79:37.594,79:38.746,Ya me dijo que lo iba a hacer.,He told me he was going to do it.
79:38.818,79:40.586,Al final empezamos el día juntos.,In the end we start the day together.
79:40.618,79:42.234,Empezamos el día hablando.,We start the day talking.
79:42.282,79:44.470,"Así que bueno, me despierto bien.","So, well, I wake up well."
80:01.820,80:04.440,Yo no pensaba que iba a echar ana tanto de menos.,I didn't think I'd miss her so much.
80:06.060,80:08.804,Ha hecho una barbaridad de menos por las mañanas.,He's done a hell of a lot less in the morning.
80:08.932,80:23.854,No soy yo que haya pensativo.,It's not me who's thoughtful.
80:23.982,80:25.210,¿Has dormido bien?,Did you sleep well?
80:26.310,80:27.374,Tenía una pesadilla.,I had a nightmare.
80:27.422,80:31.534,Ya tendrás oportunidad de hablarlo con ella y ya te dará las explicaciones que tiene que dar.,"You'll have a chance to talk to her, and she'll give you the explanations she has to give."
80:31.622,80:33.902,Ella lo que está haciendo es gastando como de madura.,What she's doing is spending like she's mature.
80:34.046,80:35.246,"Pero la está cagando, hermano.","But he's screwing up, bro."
80:35.278,80:36.622,"Vas a tener tú la razón, bro.","You're gonna be right, bro."
80:36.726,80:38.590,"No va a saber qué decirte, yo creo.","He won't know what to say, I think."
80:38.750,80:39.890,¿Qué te va a decir?,What's he gonna say?
80:41.830,80:43.694,Tú ya tienes que saber que el maduro eres tú.,You must know that you are the mature one.
80:43.742,80:47.112,Porque a ella se le doy la flapa y se lo explicas.,'Cause she gets her flap and you explain it to her.
80:47.176,80:48.072,¿Por qué me está diciendo esto?,Why are you telling me this?
80:48.096,80:52.140,"Si yo te quiero, te he respetado, te no sé qué y está diciendo esto no tiene ningún tipo.","If I love you, I've respected you, I don't know what you're saying, and there's no such thing as this."
80:55.280,81:01.260,Hoy me despierto un poco pensativo después de lo que me encontré en la hoguera.,Today I wake up a little thoughtful after what I found at the stake.
81:01.600,81:03.064,Estoy un poco perdido.,I'm a little lost.
81:03.192,81:11.300,Si el día de mañana lo podemos hablar y eso no cambia no me puedo permitir estar con una persona que es capaz de hablar así de mi.,"If tomorrow we can talk about it and that doesn't change, I can't afford to be with a person who is able to talk about me like that."
81:11.710,81:14.438,Tú tienes una energía que está bacana.,You have an energy that is bacana.
81:14.534,81:17.030,Tú le pones el sábado a mi semana.,You put it on Saturday my week.
81:17.110,81:18.662,¿Tú no tienes amigas?,Don't you have any friends?
81:18.806,81:19.878,¿Nos sentamos aquí?,Shall we sit here?
81:19.974,81:21.894,"Lo siento, no me quiero meter en el agua todavía.","I'm sorry, I don't want to get in the water yet."
81:22.022,81:28.678,"Uy, me va a costar un poquito más el día.","Oh, it's gonna cost me a little more of a day."
81:28.814,81:41.306,"Sí, no sé, me llegó la intuición de que la quiere besar y no la besa por todavía queda mucho hacía.","Yeah, I don't know, I got the intuition that she wants to kiss her and doesn't kiss her for a long time."
81:41.338,81:42.586,A lo mejor la besa.,Maybe she'll kiss her.
81:42.698,81:43.710,¿Te quiere?,Does he love you?
81:45.170,81:45.818,¿Si me quiere?,If he loves me?
81:45.834,81:48.590,"¿No sé, eso tú crees que alguna vez te han querido de verdad?","I don't know, you think they've ever really loved you?"
81:49.810,81:51.626,"Una vez sí, Peter.","I once did, Peter."
81:51.738,81:52.970,¿Qué pasó con eso?,What happened to that?
81:53.090,82:03.030,"No sé, al final cuando tienes o sea, cuando tienes relaciones lo que haces es comparar y comparo y digo ahí sí, aquí no.","I don't know, in the end, when you have sex, what you do is compare and compare, and I say yes, not here."
82:05.920,82:17.740,"Sí, pero es fuerte que digas que te pregunto si te han querido alguna de verdad y me digas que sí, que una vez, porque aquí te estás dando cuenta que no quita, me ha querido bien fuera de aquí.","Yes, but it is strong that you say that I ask you if they have really loved you and tell me that yes, once, because here you are realizing that it does not take away, it has wanted me well out of here."
82:19.520,82:23.800,"¿Sí, pero después me pongo a pensar sí, pero una persona que te quiere bien hace lo que ha hecho él?","Yes, but then I think yes, but a person who loves you well does what he has done?"
82:23.840,82:24.820,No lo sé.,I don't know.
82:25.440,82:29.654,Tus ojos veo decepción todo el rato.,Your eyes I see disappointment all the time.
82:29.782,82:32.374,¿Con qué cara voy a llegar yo a mi casa a decirle todo eso a mi madre?,What face am I going to come to my house and say all that to my mother?
82:32.462,82:36.918,¿Le voy a decir que la persona que ella veía que me miraba como nadie está mirando a otra?,Will I tell you that the person she saw looking at me like no one is looking at another?
82:36.934,82:41.158,"Y aparte planteando seguirse sin mí y aparte jugando el hielito, que era algo impensable.","And apart from the thought of going on without me, and aside playing the ice, which was unthinkable."
82:41.254,82:49.718,"Me he llegado a replantear que Nico va a pasar otro límite porque sé que quiere darle un beso y no se lo da porque pues no lo sé por qué, pero yo siento que sí se lo quiere dar.","I have come to rephrase that Nico is going to pass another limit because I know he wants to give him a kiss and he does not give it to him because I do not know why, but I feel that he does want to give it to him."
82:49.854,82:54.530,Y creo que eso es lo peor que tú puedes ver en unas imágenes un novio que se contenga a un novio que lo hace.,And I think that's the worst thing you can see in some pictures a boyfriend who holds back a boyfriend who does it.
82:57.080,83:00.128,"Bueno, contarnos cómo ha sido vuestra primera noche durmiendo.","Well, tell us how your first night was sleeping."
83:00.224,83:01.680,¿Han habido almohadas de por medio?,Have there been pillows in between?
83:01.760,83:06.048,"¿Sí, pero os habéis echado la piernecilla por encima o ni eso?","Yes, but did you put your little legs on top or not?"
83:06.104,83:07.872,Él me quería abrazar y yo no lo dejaba.,He wanted to hug me and I wouldn't let him.
83:07.936,83:17.216,"No, mentira, al final al final te abrazaba algo así y el cojín lo tiraba y lo ponía y yo lo tiraba y lo ponía, lo dejaba lejos, lo acercaba.","No, it's a lie, at the end of the day I would hug you, and the cushion would throw it and put it on, and I would throw it and put it on, put it away, put it on."
83:17.328,83:20.740,Es que necesitaba compañía después de la hoguera.,I just needed company after the bonfire.
83:22.640,83:24.760,Estoy confiando cada vez más en Julen.,I'm relying more and more on Julen.
83:24.840,83:30.380,"Me lo creo, lo veo en su mirada y al final es que si no confiara no tendría sentido.","I believe it, I see it in his eyes, and in the end, if he didn't trust it would make no sense."
83:41.680,83:45.144,"Bueno, quería hablarte sobre las sensaciones de ayer.","Well, I wanted to talk to you about yesterday's sensations."
83:45.192,83:50.390,Tú ya sabes que estábamos evitándonos todo el rato las caras porque podía pasar.,You know we were avoiding faces all the time because it could happen.
83:50.890,84:01.870,"Pasó y si te soy sincero, pues me gustó, pero pensé en Mariona también.","It happened and if I'm honest with you, then I liked it, but I thought of Mariona too."
84:02.170,84:03.190,Te entiendo.,I understand.
84:03.930,84:09.350,Sí que es verdad que no me arrepiento de lo de ayer.,It is true that I do not regret yesterday.
84:10.090,84:11.670,Simplemente estoy triste.,I'm just sad.
84:12.020,84:14.092,"Sí, pero tampoco quiero que estés más conmigo.","Yeah, but I don't want you to be with me anymore, either."
84:14.236,84:14.812,"No, no, no.","No, no, no."
